Club,Year,Domestic_TV_Money 
Stoke City,2015-12-31,97000000
Crystal Palace,2015-12-31,96000000
Everton FC,2015-12-31,100000000
West Ham United,2015-12-31,95000000
West Bromwich Albion,2015-12-31,90000000
Leicester City,2015-12-31,88000000
Newcastle United,2015-12-31,97000000
Sunderland AFC,2015-12-31,86000000
Aston Villa,2015-12-31,84000000
Hull City,2015-12-31,82000000
Burnley FC,2015-12-31,80000000
Queens Park Rangers,2015-12-31,79000000
Leicester City,2016-12-31,121200000
Arsenal FC,2016-12-31,131200000
Tottenham Hotspur,2016-12-31,123800000
Manchester City,2016-12-31,126100000
Manchester United,2016-12-31,125400000
Southampton FC,2016-12-31,110200000
West Ham United,2016-12-31,111500000
Liverpool FC,2016-12-31,117700000
