Club,Year,Domestic_TV_Money 
SSC Napoli,2015-12-31,59000000
Genoa CFC,2015-12-31,35000000
Sampdoria,2015-12-31,37000000
Inter,2015-12-31,73000000
Torino FC,2015-12-31,37000000
AC Milan,2015-12-31,72000000
US Palermo,2015-12-31,34000000
US Sassuolo,2015-12-31,22000000
Hellas Verona,2015-12-31,26000000
Chievo Verona,2015-12-31,26000000
FC Empoli,2015-12-31,21000000
Udinese Calcio,2015-12-31,31000000
Atalanta BC,2015-12-31,28000000
Cagliari Calcio,2015-12-31,29000000
AC Cesena,2015-12-31,23000000
Parma AC,2015-12-31,28000000
Juventus,2016-12-31,103100000
SSC Napoli,2016-12-31,69600000
AS Roma,2016-12-31,72700000
Inter,2016-12-31,78200000
ACF Fiorentina,2016-12-31,51200000
US Sassuolo,2016-12-31,31100000
AC Milan,2016-12-31,80300000
SS Lazio,2016-12-31,55400000
Chievo Verona,2016-12-31,33700000
FC Empoli,2016-12-31,26800000
Genoa CFC,2016-12-31,36200000
Torino FC,2016-12-31,41300000
Atalanta BC,2016-12-31,31700000
Bologna FC 1909,2016-12-31,36600000
Sampdoria,2016-12-31,37200000
US Palermo,2016-12-31,34100000
Udinese Calcio,2016-12-31,33500000
Carpi FC 1909,2016-12-31,22000000
Frosinone Calcio,2016-12-31,22000000
Hellas Verona,2016-12-31,27500000
Juventus,2017-12-31,81000000
AS Roma,2017-12-31,67600000
SSC Napoli,2017-12-31,67600000
Atalanta BC,2017-12-31,43447000
SS Lazio,2017-12-31,55900000
AC Milan,2017-12-31,66500000
Inter,2017-12-31,67274000
ACF Fiorentina,2017-12-31,56562000
Torino FC,2017-12-31,47480000
Sampdoria,2017-12-31,45415000
Cagliari Calcio,2017-12-31,37128000
US Sassuolo,2017-12-31,33511000
Udinese Calcio,2017-12-31,37504000
Chievo Verona,2017-12-31,36632000
Bologna FC 1909,2017-12-31,38695000
Genoa CFC,2017-12-31,40815000
FC Crotone,2017-12-31,26416000
FC Empoli,2017-12-31,29446000
US Palermo,2017-12-31,34945000
Pescara Calcio,2017-12-31,28901000
Juventus,2018-12-31,107300000
SSC Napoli,2018-12-31,67300000
AS Roma,2018-12-31,69500000
Inter,2018-12-31,78800000
SS Lazio,2018-12-31,54100000
AC Milan,2018-12-31,79000000
Atalanta BC,2018-12-31,37100000
ACF Fiorentina,2018-12-31,48700000
Torino FC,2018-12-31,44700000
Sampdoria,2018-12-31,41700000
US Sassuolo,2018-12-31,26900000
Genoa CFC,2018-12-31,36300000
Chievo Verona,2018-12-31,27600000
Udinese Calcio,2018-12-31,34000000
Bologna FC 1909,2018-12-31,34200000
Cagliari Calcio,2018-12-31,33400000
SPAL 2013 Ferrara,2018-12-31,25500000
FC Crotone,2018-12-31,24900000
Hellas Verona,2018-12-31,26900000
Benevento Calcio,2018-12-31,24200000
Juventus,2019-12-31,85300000
SSC Napoli,2019-12-31,77000000
Atalanta BC,2019-12-31,56900000
Inter,2019-12-31,83700000
AC Milan,2019-12-31,77300000
AS Roma,2019-12-31,71400000
Torino FC,2019-12-31,56600000
SS Lazio,2019-12-31,68300000
Sampdoria,2019-12-31,60500000
Bologna FC 1909,2019-12-31,46400000
US Sassuolo,2019-12-31,51400000
Udinese Calcio,2019-12-31,45700000
SPAL 2013 Ferrara,2019-12-31,40800000
Parma AC,2019-12-31,45500000
Cagliari Calcio,2019-12-31,47000000
ACF Fiorentina,2019-12-31,65200000
Genoa CFC,2019-12-31,52300000
FC Empoli,2019-12-31,41800000
Frosinone Calcio,2019-12-31,36500000
Chievo Verona,2019-12-31,40400000
Juventus,2020-12-31,99400000
Inter,2020-12-31,94700000
Atalanta BC,2020-12-31,62300000
SS Lazio,2020-12-31,72600000
AS Roma,2020-12-31,79300000
AC Milan,2020-12-31,78600000
SSC Napoli,2020-12-31,74000000
US Sassuolo,2020-12-31,40600000
Hellas Verona,2020-12-31,39600000
ACF Fiorentina,2020-12-31,58700000
Parma AC,2020-12-31,38500000
Bologna FC 1909,2020-12-31,45800000
Udinese Calcio,2020-12-31,39400000
Cagliari Calcio,2020-12-31,37300000
Sampdoria,2020-12-31,43300000
Torino FC,2020-12-31,49400000
Genoa CFC,2020-12-31,46200000
US Lecce,2020-12-31,33400000
Brescia Calcio,2020-12-31,31200000
SPAL 2013 Ferrara,2020-12-31,30500000
Girondins Bordeaux,2009-12-31,41481000
Olympique Marseille,2009-12-31,47451000
Olympique Lyon,2009-12-31,43594000
FC Toulouse,2009-12-31,28037000
LOSC Lille,2009-12-31,31873000
Paris Saint-Germain,2009-12-31,27893000
Stade Rennais FC,2009-12-31,27893000
AJ Auxerre,2009-12-31,23350000
OGC Nice,2009-12-31,21192000
FC Lorient,2009-12-31,18500000
AS Monaco,2009-12-31,24700000
Valenciennes FC,2009-12-31,17500000
Grenoble Foot 38,2009-12-31,16500000
FC Sochaux,2009-12-31,18200000
FC Nancy,2009-12-31,23461000
Le Mans UC 72,2009-12-31,16353000
AS Saint-Étienne,2009-12-31,23461000
SM Caen,2009-12-31,13636000
FC Nantes,2009-12-31,15356000
AC Le Havre,2009-12-31,13135000
Olympique Marseille,2010-12-31,50876000
Olympique Lyon,2010-12-31,46634000
AJ Auxerre,2010-12-31,30405000
LOSC Lille,2010-12-31,34152000
Montpellier HSC,2010-12-31,24085000
Girondins Bordeaux,2010-12-31,34223000
FC Lorient,2010-12-31,21598000
AS Monaco,2010-12-31,24523000
Stade Rennais FC,2010-12-31,25969000
Valenciennes FC,2010-12-31,19223000
RC Lens,2010-12-31,24208000
FC Nancy,2010-12-31,19258000
Paris Saint-Germain,2010-12-31,29521000
FC Toulouse,2010-12-31,19617000
OGC Nice,2010-12-31,17821000
FC Sochaux,2010-12-31,17353000
AS Saint-Étienne,2010-12-31,14469000
Le Mans UC 72,2010-12-31,14469000
US Boulogne,2010-12-31,13617000
Grenoble Foot 38,2010-12-31,13442000
LOSC Lille,2011-12-31,42525000
Olympique Marseille,2011-12-31,49963000
Olympique Lyon,2011-12-31,45872000
Paris Saint-Germain,2011-12-31,39059000
FC Sochaux,2011-12-31,25748000
Stade Rennais FC,2011-12-31,30657000
Girondins Bordeaux,2011-12-31,33984000
FC Toulouse,2011-12-31,24744000
AJ Auxerre,2011-12-31,23316000
AS Saint-Étienne,2011-12-31,26384000
FC Lorient,2011-12-31,19018000
Valenciennes FC,2011-12-31,18406000
FC Nancy,2011-12-31,19661000
Montpellier HSC,2011-12-31,17606000
SM Caen,2011-12-31,16601000
Stade Brest,2011-12-31,16054000
OGC Nice,2011-12-31,17558000
AS Monaco,2011-12-31,17571000
RC Lens,2011-12-31,19415000
Athlétic Club Arlésien,2011-12-31,13703000
Montpellier HSC,2012-12-31,38064000
Paris Saint-Germain,2012-12-31,43280000
LOSC Lille,2012-12-31,38064000
Olympique Lyon,2012-12-31,43822200
Girondins Bordeaux,2012-12-31,35519000
Stade Rennais FC,2012-12-31,30657000
AS Saint-Étienne,2012-12-31,28282000
FC Toulouse,2012-12-31,26988000
FC Évian Thonon Gaillard,2012-12-31,19944000
Olympique Marseille,2012-12-31,39519000
FC Nancy,2012-12-31,19909000
Valenciennes FC,2012-12-31,19759000
OGC Nice,2012-12-31,18804000
FC Sochaux,2012-12-31,18232000
Stade Brest,2012-12-31,16810000
AC Ajaccio,2012-12-31,16075000
FC Lorient,2012-12-31,18853000
SM Caen,2012-12-31,14490000
Dijon FCO,2012-12-31,13724000
AJ Auxerre,2012-12-31,17810000
Paris Saint-Germain,2013-12-31,44130000
Olympique Marseille,2013-12-31,47976000
Olympique Lyon,2013-12-31,43951000
OGC Nice,2013-12-31,26025000
AS Saint-Étienne,2013-12-31,30433000
LOSC Lille,2013-12-31,32075000
Girondins Bordeaux,2013-12-31,32127000
FC Lorient,2013-12-31,22617000
Montpellier HSC,2013-12-31,21841000
FC Toulouse,2013-12-31,23995000
Valenciennes FC,2013-12-31,19644000
SC Bastia,2013-12-31,16525000
Stade Rennais FC,2013-12-31,23785000
Stade Reims,2013-12-31,15633000
FC Sochaux,2013-12-31,16532000
FC Évian Thonon Gaillard,2013-12-31,15657000
AC Ajaccio,2013-12-31,15078000
FC Nancy,2013-12-31,15075000
ESTAC Troyes,2013-12-31,12900000
Stade Brest,2013-12-31,13755000
Paris Saint-Germain,2014-12-31,44600000
AS Monaco,2014-12-31,29500000
LOSC Lille,2014-12-31,36500000
AS Saint-Étienne,2014-12-31,31900000
Olympique Lyon,2014-12-31,40900000
Olympique Marseille,2014-12-31,41800000
Girondins Bordeaux,2014-12-31,32100000
FC Lorient,2014-12-31,21700000
FC Toulouse,2014-12-31,21400000
SC Bastia,2014-12-31,16400000
Stade Reims,2014-12-31,17100000
Stade Rennais FC,2014-12-31,24000000
FC Nantes,2014-12-31,16700000
FC Évian Thonon Gaillard,2014-12-31,16300000
Montpellier HSC,2014-12-31,21400000
EA Guingamp,2014-12-31,14800000
OGC Nice,2014-12-31,16400000
FC Sochaux,2014-12-31,14200000
Valenciennes FC,2014-12-31,15500000
AC Ajaccio,2014-12-31,13100000
Paris Saint-Germain,2015-12-31,45524000
Olympique Lyon,2015-12-31,41936000
AS Monaco,2015-12-31,26475000
Olympique Marseille,2015-12-31,42800000
AS Saint-Étienne,2015-12-31,29873000
Girondins Bordeaux,2015-12-31,30277000
Montpellier HSC,2015-12-31,25322000
LOSC Lille,2015-12-31,31090000
Stade Rennais FC,2015-12-31,24478000
EA Guingamp,2015-12-31,16537000
OGC Nice,2015-12-31,18162000
SC Bastia,2015-12-31,16455000
SM Caen,2015-12-31,15237000
FC Nantes,2015-12-31,14986000
Stade Reims,2015-12-31,15005000
FC Lorient,2015-12-31,17200000
FC Toulouse,2015-12-31,17648000
FC Évian Thonon Gaillard,2015-12-31,13432000
FC Metz,2015-12-31,11928000
RC Lens,2015-12-31,13548000
Paris Saint-Germain,2016-12-31,53700000
Olympique Lyon,2016-12-31,43600000
AS Monaco,2016-12-31,31100000
OGC Nice,2016-12-31,25000000
LOSC Lille,2016-12-31,36100000
AS Saint-Étienne,2016-12-31,31900000
SM Caen,2016-12-31,20700000
Stade Rennais FC,2016-12-31,27100000
Angers SCO,2016-12-31,18300000
SC Bastia,2016-12-31,18700000
Girondins Bordeaux,2016-12-31,27000000
Montpellier HSC,2016-12-31,23600000
Olympique Marseille,2016-12-31,39600000
FC Nantes,2016-12-31,17500000
FC Lorient,2016-12-31,19400000
EA Guingamp,2016-12-31,17300000
FC Toulouse,2016-12-31,18400000
Stade Reims,2016-12-31,14900000
GFC Ajaccio,2016-12-31,10300000
ESTAC Troyes,2016-12-31,13700000
AS Monaco,2017-12-31,41938000
Paris Saint-Germain,2017-12-31,57855000
OGC Nice,2017-12-31,33982000
Olympique Lyon,2017-12-31,47224000
Olympique Marseille,2017-12-31,47048000
Girondins Bordeaux,2017-12-31,35454000
FC Nantes,2017-12-31,25409000
AS Saint-Étienne,2017-12-31,37141000
Stade Rennais FC,2017-12-31,30228000
EA Guingamp,2017-12-31,21716000
LOSC Lille,2017-12-31,33168000
Angers SCO,2017-12-31,19532000
FC Toulouse,2017-12-31,21411000
FC Metz,2017-12-31,18246000
Montpellier HSC,2017-12-31,22976000
Dijon FCO,2017-12-31,17316000
SM Caen,2017-12-31,18108000
FC Lorient,2017-12-31,18119000
FC Nancy,2017-12-31,15562000
SC Bastia,2017-12-31,16713000
Paris Saint-Germain,2018-12-31,56700000
AS Monaco,2018-12-31,44400000
Olympique Lyon,2018-12-31,48700000
Olympique Marseille,2018-12-31,51700000
Stade Rennais FC,2018-12-31,31100000
Girondins Bordeaux,2018-12-31,35300000
AS Saint-Étienne,2018-12-31,38700000
OGC Nice,2018-12-31,29700000
FC Nantes,2018-12-31,24200000
Montpellier HSC,2018-12-31,24700000
Dijon FCO,2018-12-31,20400000
EA Guingamp,2018-12-31,21500000
Amiens SC,2018-12-31,18800000
Angers SCO,2018-12-31,19600000
RC Strasbourg,2018-12-31,17900000
SM Caen,2018-12-31,19200000
LOSC Lille,2018-12-31,26500000
FC Toulouse,2018-12-31,20200000
ESTAC Troyes,2018-12-31,15700000
FC Metz,2018-12-31,16000000
Paris Saint-Germain,2019-12-31,59800000
LOSC Lille,2019-12-31,38300000
Olympique Lyon,2019-12-31,48200000
AS Saint-Étienne,2019-12-31,40400000
Olympique Marseille,2019-12-31,46600000
Montpellier HSC,2019-12-31,29500000
OGC Nice,2019-12-31,32000000
Stade Reims,2019-12-31,24800000
Nîmes Olympique,2019-12-31,22700000
Stade Rennais FC,2019-12-31,28000000
RC Strasbourg,2019-12-31,21400000
FC Nantes,2019-12-31,24800000
Angers SCO,2019-12-31,21500000
Girondins Bordeaux,2019-12-31,28500000
Amiens SC,2019-12-31,19300000
FC Toulouse,2019-12-31,21500000
AS Monaco,2019-12-31,32400000
Dijon FCO,2019-12-31,19000000
SM Caen,2019-12-31,21300000
EA Guingamp,2019-12-31,21800000
Paris Saint-Germain,2020-12-31,41930000
Olympique Marseille,2020-12-31,36680000
Stade Rennais FC,2020-12-31,26110000
LOSC Lille,2020-12-31,24010000
OGC Nice,2020-12-31,24640000
Stade Reims,2020-12-31,19600000
Olympique Lyon,2020-12-31,29680000
Montpellier HSC,2020-12-31,19180000
AS Monaco,2020-12-31,24080000
RC Strasbourg,2020-12-31,18960000
Angers SCO,2020-12-31,20300000
Girondins Bordeaux,2020-12-31,19280000
FC Nantes,2020-12-31,14900000
Stade Brest,2020-12-31,15100000
FC Metz,2020-12-31,15400000
Dijon FCO,2020-12-31,22120000
AS Saint-Étienne,2020-12-31,16600000
Nîmes Olympique,2020-12-31,15000000
Amiens SC,2020-12-31,15100000
FC Toulouse,2020-12-31,16000000
Bayern Munich,2010-12-31,28600000
FC Schalke 04,2010-12-31,26497000
SV Werder Bremen,2010-12-31,25478000
Bayer Leverkusen,2010-12-31,21906000
Borussia Dortmund,2010-12-31,20191000
VfB Stuttgart,2010-12-31,23843000
Hamburger SV,2010-12-31,23155000
VfL Wolfsburg,2010-12-31,21217000
1.FSV Mainz 05,2010-12-31,14650000
Eintracht Frankfurt,2010-12-31,19152000
TSG 1899 Hoffenheim,2010-12-31,16500000
Borussia Mönchengladbach,2010-12-31,15300000
1. FC Köln,2010-12-31,13855000
SC Freiburg,2010-12-31,12472000
Hannover 96,2010-12-31,17600000
1.FC Nuremberg,2010-12-31,13387000
VfL Bochum,2010-12-31,16557000
Hertha BSC,2010-12-31,18753000
Borussia Dortmund,2011-12-31,23992000
Bayer Leverkusen,2011-12-31,22561000
Bayern Munich,2011-12-31,23287000
Hannover 96,2011-12-31,19053000
1.FSV Mainz 05,2011-12-31,16936000
1.FC Nuremberg,2011-12-31,14113000
1.FC Kaiserslautern,2011-12-31,12702000
Hamburger SV,2011-12-31,21676000
SC Freiburg,2011-12-31,15525000
1. FC Köln,2011-12-31,14819000
TSG 1899 Hoffenheim,2011-12-31,17642000
VfB Stuttgart,2011-12-31,18347000
SV Werder Bremen,2011-12-31,20464000
FC Schalke 04,2011-12-31,21170000
VfL Wolfsburg,2011-12-31,19759000
Borussia Mönchengladbach,2011-12-31,13408000
Eintracht Frankfurt,2011-12-31,16230000
FC St. Pauli,2011-12-31,11996000
Borussia Dortmund,2012-12-31,24309000
Bayern Munich,2012-12-31,25046000
FC Schalke 04,2012-12-31,22636000
Borussia Mönchengladbach,2012-12-31,18416000
Bayer Leverkusen,2012-12-31,23573000
VfB Stuttgart,2012-12-31,20626000
Hannover 96,2012-12-31,21363000
VfL Wolfsburg,2012-12-31,16943000
SV Werder Bremen,2012-12-31,22099000
1.FC Nuremberg,2012-12-31,16206000
TSG 1899 Hoffenheim,2012-12-31,19889000
SC Freiburg,2012-12-31,14733000
1.FSV Mainz 05,2012-12-31,19153000
FC Augsburg,2012-12-31,12523000
Hamburger SV,2012-12-31,17679000
Hertha BSC,2012-12-31,13250000
1. FC Köln,2012-12-31,15470000
1.FC Kaiserslautern,2012-12-31,13996000
Bayern Munich,2013-12-31,25229000
Borussia Dortmund,2013-12-31,24572000
Bayer Leverkusen,2013-12-31,23958000
FC Schalke 04,2013-12-31,23302000
SC Freiburg,2013-12-31,20017000
Eintracht Frankfurt,2013-12-31,16118000
Hamburger SV,2013-12-31,18571000
Borussia Mönchengladbach,2013-12-31,21988000
Hannover 96,2013-12-31,22645000
1.FC Nuremberg,2013-12-31,17783000
VfL Wolfsburg,2013-12-31,16994000
VfB Stuttgart,2013-12-31,20674000
1.FSV Mainz 05,2013-12-31,21331000
SV Werder Bremen,2013-12-31,19316000
FC Augsburg,2013-12-31,14366000
TSG 1899 Hoffenheim,2013-12-31,15242000
Fortuna Düsseldorf,2013-12-31,13490000
SpVgg Greuther Fürth,2013-12-31,12614000
Bayern Munich,2014-12-31,36900000
Borussia Dortmund,2014-12-31,35500000
FC Schalke 04,2014-12-31,33300000
Bayer Leverkusen,2014-12-31,33600000
VfL Wolfsburg,2014-12-31,30100000
Borussia Mönchengladbach,2014-12-31,31900000
1.FSV Mainz 05,2014-12-31,29000000
FC Augsburg,2014-12-31,20500000
TSG 1899 Hoffenheim,2014-12-31,25100000
Hannover 96,2014-12-31,30700000
Hertha BSC,2014-12-31,19300000
SV Werder Bremen,2014-12-31,26200000
Eintracht Frankfurt,2014-12-31,21700000
SC Freiburg,2014-12-31,28100000
VfB Stuttgart,2014-12-31,27200000
Hamburger SV,2014-12-31,24000000
1.FC Nuremberg,2014-12-31,22900000
Eintracht Braunschweig,2014-12-31,18200000
Bayern Munich,2015-12-31,51000000
VfL Wolfsburg,2015-12-31,35000000
Borussia Mönchengladbach,2015-12-31,37000000
Bayer Leverkusen,2015-12-31,41000000
FC Augsburg,2015-12-31,28000000
FC Schalke 04,2015-12-31,42000000
Borussia Dortmund,2015-12-31,43000000
TSG 1899 Hoffenheim,2015-12-31,28000000
Eintracht Frankfurt,2015-12-31,26000000
SV Werder Bremen,2015-12-31,31000000
1.FSV Mainz 05,2015-12-31,32000000
1. FC Köln,2015-12-31,21000000
Hannover 96,2015-12-31,36000000
VfB Stuttgart,2015-12-31,33000000
Hertha BSC,2015-12-31,23000000
Hamburger SV,2015-12-31,28000000
SC Freiburg,2015-12-31,31000000
SC Paderborn 07,2015-12-31,20000000
Bayern Munich,2016-12-31,71900000
Borussia Dortmund,2016-12-31,59500000
Bayer Leverkusen,2016-12-31,56400000
Borussia Mönchengladbach,2016-12-31,43000000
FC Schalke 04,2016-12-31,60000000
1.FSV Mainz 05,2016-12-31,34900000
Hertha BSC,2016-12-31,26900000
VfL Wolfsburg,2016-12-31,41000000
1. FC Köln,2016-12-31,25500000
Hamburger SV,2016-12-31,28300000
FC Ingolstadt 04,2016-12-31,24100000
FC Augsburg,2016-12-31,36100000
SV Werder Bremen,2016-12-31,33100000
SV Darmstadt 98,2016-12-31,22700000
TSG 1899 Hoffenheim,2016-12-31,33400000
Eintracht Frankfurt,2016-12-31,33900000
VfB Stuttgart,2016-12-31,34800000
Hannover 96,2016-12-31,42600000
Bayern Munich,2017-12-31,74146000
RB Leipzig,2017-12-31,23061000
Borussia Dortmund,2017-12-31,62053000
TSG 1899 Hoffenheim,2017-12-31,35114000
1. FC Köln,2017-12-31,28763000
Hertha BSC,2017-12-31,32774000
SC Freiburg,2017-12-31,27315000
SV Werder Bremen,2017-12-31,33980000
Borussia Mönchengladbach,2017-12-31,45134000
FC Schalke 04,2017-12-31,57700000
Eintracht Frankfurt,2017-12-31,34393000
Bayer Leverkusen,2017-12-31,57338000
FC Augsburg,2017-12-31,35797000
Hamburger SV,2017-12-31,30151000
1.FSV Mainz 05,2017-12-31,37251000
VfL Wolfsburg,2017-12-31,44046000
FC Ingolstadt 04,2017-12-31,25897000
SV Darmstadt 98,2017-12-31,24479000
Bayern Munich,2018-12-31,97700000
FC Schalke 04,2018-12-31,79668000
TSG 1899 Hoffenheim,2018-12-31,55967000
Borussia Dortmund,2018-12-31,88330000
Bayer Leverkusen,2018-12-31,77722000
RB Leipzig,2018-12-31,29610000
VfB Stuttgart,2018-12-31,40627000
Eintracht Frankfurt,2018-12-31,45617000
Borussia Mönchengladbach,2018-12-31,70736000
Hertha BSC,2018-12-31,55308000
SV Werder Bremen,2018-12-31,48043000
FC Augsburg,2018-12-31,48865000
Hannover 96,2018-12-31,39115000
1.FSV Mainz 05,2018-12-31,51254000
SC Freiburg,2018-12-31,41813000
VfL Wolfsburg,2018-12-31,66175000
Hamburger SV,2018-12-31,40392000
1. FC Köln,2018-12-31,50074000
Bayern Munich,2019-12-31,65400000
Borussia Dortmund,2019-12-31,64117000
RB Leipzig,2019-12-31,40352000
Bayer Leverkusen,2019-12-31,61660000
Borussia Mönchengladbach,2019-12-31,58532000
VfL Wolfsburg,2019-12-31,46384000
Eintracht Frankfurt,2019-12-31,51595000
SV Werder Bremen,2019-12-31,54560000
TSG 1899 Hoffenheim,2019-12-31,58810000
Fortuna Düsseldorf,2019-12-31,25558000
Hertha BSC,2019-12-31,56667000
1.FSV Mainz 05,2019-12-31,45825000
SC Freiburg,2019-12-31,36684000
FC Schalke 04,2019-12-31,62722000
FC Augsburg,2019-12-31,48646000
VfB Stuttgart,2019-12-31,39817000
Hannover 96,2019-12-31,33691000
1.FC Nuremberg,2019-12-31,29368000
Bayern Munich,2020-12-31,113000000
Borussia Dortmund,2020-12-31,99000000
RB Leipzig,2020-12-31,71000000
Borussia Mönchengladbach,2020-12-31,78000000
Bayer Leverkusen,2020-12-31,91000000
TSG 1899 Hoffenheim,2020-12-31,69000000
VfL Wolfsburg,2020-12-31,67000000
SC Freiburg,2020-12-31,47000000
Eintracht Frankfurt,2020-12-31,70000000
Hertha BSC,2020-12-31,62000000
1.FC Union Berlin,2020-12-31,33000000
FC Schalke 04,2020-12-31,87000000
1.FSV Mainz 05,2020-12-31,55500000
1. FC Köln,2020-12-31,44500000
FC Augsburg,2020-12-31,50000000
SV Werder Bremen,2020-12-31,57500000
Fortuna Düsseldorf,2020-12-31,36000000
SC Paderborn 07,2020-12-31,29500000
VfL Wolfsburg,2009-12-31,19692000
Bayern Munich,2009-12-31,27360000
VfB Stuttgart,2009-12-31,21690000
Hertha BSC,2009-12-31,22328000
Hamburger SV,2009-12-31,21328000
Borussia Dortmund,2009-12-31,20346000
TSG 1899 Hoffenheim,2009-12-31,12669000
FC Schalke 04,2009-12-31,24438000
Bayer Leverkusen,2009-12-31,24016000
SV Werder Bremen,2009-12-31,23034000
Hannover 96,2009-12-31,18337000
1. FC Köln,2009-12-31,13403000
Eintracht Frankfurt,2009-12-31,18023000
VfL Bochum,2009-12-31,17267000
Borussia Mönchengladbach,2009-12-31,14117000
FC Energie Cottbus,2009-12-31,15731000
Karlsruher SC,2009-12-31,14930000
Arminia Bielefeld,2009-12-31,16500000
