Team_id,Teams,Country_id
6032,SBV Haarlem,600
6033,HFC Haarlem,600
6034,Sportclub Enschede,600
6035,FC Den Bosch '67,600
6036,Groninger VAV,600
6037,SC Cambuur,600
6038,USV Elinkwijk,600
6039,PEC Zwolle '82,600
6040,Blauw Wit,600
6041,Rapid JC Heerlen,600
6042,FC Amsterdam,600
6043,GVAV Groningen,600
6044,RBC Roosendaal,600
6045,FC Den Haag-ADO,600
6046,FC Den Bosch,600
6047,NOAD Tilburg,600
6048,Sittardia,600
6049,SC Eindhoven,600
6050,FC Emmen,600
6051,Holland Sport,600
6052,Dordrecht '90,600
6053,Helmond Sport,600
6054,BVV Den Bosch,600
6055,Drechtsteden '79,600
6056,BV Veendam,600
6057,FC Zwolle,600
6058,SVV Schiedam,600
6059,BVC Amsterdam,600
6060,BVV,600
6061,De Volewijckers,600
6062,SHS,600
6063,FC Dordrecht,600
6064,FC Xerxes,600
6065,WVV Wageningen,600
6066,FC Wageningen,600
6067,VV Alkmaar '54,600
6068,Xerxes/D.H.C.,600
6069,S.V.V./Dordrecht '90,600
6070,FSC Geleen,600
5001,SV Werder Bremen,500
5002,FC Bayern,500
5003,Hamburger SV,500
5004,VfB Stuttgart,500
5005,Borussia Dortmund,500
5006,Borussia Mönchengladbach,500
5007,FC Schalke 04,500
5008,Eintracht Frankfurt,500
5009,1. FC Köln,500
5010,1.FC Kaiserslautern,500
5011,Bayer Leverkusen,500
5012,Hertha BSC,500
5013,VfL Bochum,500
5014,1.FC Nuremberg,500
5015,Hannover 96,500
5016,Fortuna Düsseldorf,500
5017,MSV Duisburg,500
5018,VfL Wolfsburg,500
5019,Karlsruher SC,500
5020,SC Freiburg,500
5021,Eintracht Braunschweig,500
5022,TSV 1860 Munich,500
5023,Arminia Bielefeld,500
5024,1.FSV Mainz 05,500
5025,TSG 1899 Hoffenheim,500
5026,Bay. Uerdingen,500
5027,FC Hansa Rostock,500
5028,FC Augsburg,500
5029,FC St. Pauli,500
5030,Waldh. Mannheim,500
5031,K. Offenbach,500
5032,RW Essen,500
5033,FC Energie Cottbus,500
5034,RB Leipzig,500
5035,Saarbrücken,500
5036,Wattenscheid 09,500
5037,Alemannia Aachen,500
5038,RW Oberhausen,500
5039,Meidericher SV,500
5040,SV Darmstadt 98,500
5041,Wuppertaler SV,500
5042,B. Neunkirchen,500
5043,Dynamo Dresden,500
5044,FC 08 Homburg,500
5045,SC Paderborn 07,500
5046,FC Ingolstadt 04,500
5047,1.FC Union Berlin,500
5048,SpVgg Unterhaching,500
5049,Stuttg. Kickers,500
5050,TeBe Berlin,500
5051,SpVgg Greuther Fürth,500
5052,KFC Uerdingen 05,500
5053,Dynamo Dresden *,500
5054,Tasmania Berlin,500
5055,SC Fortuna Köln,500
5056,BW Berlin,500
5057,SSV Ulm 1846,500
5058,Arm. Bielefeld *,500
5059,VfB Leipzig,500
5060,Preußen Münster,500
401,LOSC Lille,400
402,Olympique Marseille,400
403,AS Saint-Étienne,400
404,Girondins Bordeaux,400
405,FC Sochaux,400
406,Stade Rennais FC,400
407,Olympique Lyon,400
408,AS Monaco,400
409,OGC Nice,400
410,FC Metz,400
411,RC Strasbourg,400
412,RC Lens,400
413,FC Nantes,400
414,FC Toulouse,400
415,Paris Saint-Germain,400
416,FC Nancy,400
417,Montpellier HSC,400
418,Nîmes Olympique,400
419,Stade Reims,400
420,SC Bastia,400
421,AJ Auxerre,400
422,Angers SCO,400
423,Racing Club de France,400
424,US Valenciennes-Anzin,400
425,AC Le Havre,400
426,SM Caen,400
427,FC Rouen,400
428,AS Cannes,400
429,Stade Brest,400
430,FC Sète,400
431,FC Lorient,400
432,EA Guingamp,400
433,AC Ajaccio,400
434,Stade Laval,400
435,RC Roubaix,400
436,CS Sedan,400
437,UA Sedan-Torcy,400
438,Stade Français FC,400
439,SC Toulon,400
440,ESTAC Troyes,400
441,Red Star FC,400
442,Valenciennes FC,400
443,Dijon FCO,400
444,Le Mans UC 72,400
445,Excelsior Roubaix,400
446,FC Antibes,400
447,Olympique Alès,400
448,Troyes AF,400
449,FC Mulhouse,400
450,Red Star Olympique,400
451,Grenoble Foot 38,400
452,FC Évian Thonon Gaillard,400
453,Tours FC,400
454,FC Martigues,400
455,Limoges FC,400
456,Amiens SC,400
457,AS Angoulême,400
458,AS Troyes-Savinienne,400
459,AS Cannes-Grasse,400
